Designator,Mid X,Mid Y,Rotation,Layer
LED1,25.0,0.0,90.0,top
LED10,-12.5,-21.65,330.0,top
LED11,-17.16,-18.18,316.67,top
LED12,-20.89,-13.74,302.33,top
LED13,-23.49,-8.55,290.0,top
LED14,-24.83,-2.9,276.67,top
LED15,-24.83,2.9,263.33,top
LED16,-23.49,8.55,250.0,top
LED17,-20.89,13.74,237.0,top
LED18,-17.16,18.18,223.33,top
LED19,-12.5,21.65,210.0,top
LED2,24.33,-5.77,76.67,top
LED20,-7.17,23.95,196.67,top
LED21,-1.45,24.96,183.33,top
LED22,4.34,24.62,170.0,top
LED23,9.9,22.96,156.67,top
LED24,14.93,20.05,143.33,top
LED25,19.15,16.07,130.0,top
LED26,22.34,11.22,116.67,top
LED27,24.33,5.77,103.33,top
LED28,13.1,30.6,336.67,top
LED29,-1.9,33.3,3.33,top
LED3,22.34,-11.22,63.33,top
LED30,-16.4,28.9,30.0,top
LED4,19.15,-16.07,50.0,top
LED5,14.93,-20.05,36.67,top
LED6,9.9,-22.96,23.33,top
LED7,4.34,-24.62,10.0,top
LED8,-1.45,-24.96,356.67,top
LED9,-7.17,-23.95,343.33,top
R1,-10.0,6.240001,270.0,top
R2,3.0,-10.0,180.0,top
R3,-3.0,-10.0,180.0,top
ROW1,22.7,2.8,180.0,top
ROW2,-13.6,-18.5,45.0,top
ROW3,-3.7,22.1,286.67,top
SW1,0.0,0.0,0.0,top
